#SCORING OFFENSE,G,TD,FG,XPT,2XP,DXP,Saf,Pts,Avg/G
Oklahoma,14,76,19,75,1,0,0,590,42.1
Texas,13,59,14,56,2,1,0,458,35.2
Baylor,13,59,16,55,0,0,0,457,35.2
Oklahoma State,13,52,20,48,1,0,0,422,32.5
Iowa State,13,53,17,49,0,0,0,418,32.2
Texas Tech,12,44,20,40,1,0,0,366,30.5
TCU,12,41,26,40,0,0,0,364,30.3
Kansas State,13,47,19,46,0,0,0,385,29.6
Kansas,12,36,11,27,3,0,0,282,23.5
West Virginia,12,30,13,28,0,0,0,247,20.6
#SCORING DEFENSE,G,TD,FG,XPT,2XP,DXP,Saf,Pts,Avg/G
Baylor,13,29,17,26,0,0,0,251,19.3
Kansas State,13,31,20,30,1,0,0,278,21.4
Iowa State,13,39,22,35,1,0,0,337,25.9
TCU,12,39,16,33,1,0,0,317,26.4
Oklahoma State,13,43,16,38,2,0,0,348,26.8
Oklahoma,14,48,16,46,0,0,0,382,27.3
Texas,13,42,21,38,2,0,0,357,27.5
West Virginia,12,43,15,43,0,0,0,346,28.8
Texas Tech,12,46,15,37,3,0,0,364,30.3
Kansas,12,56,15,50,0,1,0,433,36.1
#RUSHING OFFENSE,G,Att.,Yards,Avg/A,Long,TD,Avg/G,,
Oklahoma,14,565,3363,6,75,38,240.2,,
Oklahoma State,13,562,2985,5.3,92,27,229.6,,
TCU,12,510,2448,4.8,77,23,204,,
Kansas State,13,538,2314,4.3,61,29,178,,
Texas,13,480,2295,4.8,68,26,176.5,,
Baylor,13,476,2269,4.8,73,34,174.5,,
Texas Tech,12,404,1795,4.4,69,20,149.6,,
Kansas,12,383,1749,4.6,82,10,145.8,,
Iowa State,13,412,1729,4.2,75,22,133,,
West Virginia,12,334,879,2.6,36,7,73.2,,
#RUSHING DEFENSE,G,Att.,Yards,Avg/A,Long,TD,Avg/G,,
Oklahoma,14,459,1877,4.1,62,20,134.1,,
TCU,12,409,1647,4,92,16,137.2,,
Texas,13,437,1806,4.1,65,13,138.9,,
Iowa State,13,455,1814,4,84,13,139.5,,
Baylor,13,507,1870,3.7,68,15,143.8,,
Oklahoma State,13,479,2060,4.3,73,18,158.5,,
West Virginia,12,502,1913,3.8,64,20,159.4,,
